id,name,cuisine,address,coordinates,numOfReviews,rating,zipcode,insertedAtTimeStamp
lynQoI3w_pzYfHGeuUU-Qg,b'Shu Jiao Fu Zhou',chinese,295 Grand St,"{'latitude': 40.7174109, 'longitude': -73.99210041198651}",1383,4.5,10002,2024-02-15T17:14:40.493501
XsXLVWr1UZWVhKThNvNiaA,b'Blue Willow \xe5\xa4\x9c\xe6\x9d\xa5\xe6\xb9\x98',chinese,40 W 56th St,"{'latitude': 40.76292, 'longitude': -73.976546}",1080,4.4,10019,2024-02-15T17:14:40.493501
X8ZS-dgiMIJvhwf9SaDnjw,b'Wah Fung No 1',chinese,79 Chrystie St,"{'latitude': 40.71735, 'longitude': -73.99457}",2082,4.5,10002,2024-02-15T17:14:40.493501
0dDCDQz7DrKkSvu9h2hcQw,b'Chow House',chinese,181 Bleecker St,"{'latitude': 40.72915, 'longitude': -74.00072}",655,4.4,10012,2024-02-15T17:14:40.493501
4FD0TAxe70nb3ngk3sXF9Q,b'Uluh',chinese,152 2nd Ave,"{'latitude': 40.729354, 'longitude': -73.98665}",945,4.4,10003,2024-02-15T17:14:40.493501
DIwe3i_-OkvfKAHrNDGtSw,b'Red Sorghum \xe5\xa4\x9c\xe5\xae\xb4',chinese,28-03 Jackson Ave,"{'latitude': 40.74852, 'longitude': -73.93789}",45,4.5,11101,2024-02-15T17:14:40.493501
sRWRA4dcN_NR1JGpuRVouA,b'Nan Xiang Xiao Long Bao - Manhattan',chinese,24 W 33rd St,"{'latitude': 40.74822527534694, 'longitude': -73.9857786}",941,4.6,10001,2024-02-15T17:14:40.493501
iu1TLnNH13AdBDg_LmnuHQ,b'Lunar',chinese,12 E 37th St,"{'latitude': 40.74981466503257, 'longitude': -73.98231633276964}",13,4.6,10016,2024-02-15T17:14:40.493501
83zDAk03lFXkgImgkLhT9w,b'Chi Restaurant & Bar',chinese,492 9th Ave,"{'latitude': 40.75547, 'longitude': -73.99439}",127,4.3,10018,2024-02-15T17:14:40.493501
wfhMIiMh2A2psCGONOVSlg,b'Han Dynasty',chinese,90 3rd Ave,"{'latitude': 40.732072, 'longitude': -73.988074}",1374,3.9,10003,2024-02-15T17:14:40.493501
QaolMEijS7L6eodSneOdng,b'Tri Dim Shanghai West',chinese,467 Columbus Ave,"{'latitude': 40.78412, 'longitude': -73.97368}",243,4.1,10024,2024-02-15T17:14:40.493501
gNGxh97n0NZgYG1Q_no9Kg,b'Potluck Club',chinese,133 Chrystie St,"{'latitude': 40.719566, 'longitude': -73.993524}",330,4.4,10002,2024-02-15T17:14:40.493501
